Construction;Sentence;agent;motion;figure;relation;prep/ground;source;path/via;goal
motion;Since it was raining, I carried the newspaper over my backpack to keepæitædry.;I;carried;newspaper;at;over/my backpack;['unknown'];['unknown'];['higher than']
motion;Jane knocked on the door, and Susan answered it.æSheæinvited her to come out.;;knocked;Jane;at;on/door;[];[];[]
motion;Jane knocked on the door, and Susan answered it.æSheæinvited her to come in.;;knocked;Jane;at;on/door;[];[];[]
motion;Mary tucked her daughter Anne into bed, so thatæsheæcould work.;Mary;tucked;her daughter Anne;at;into/bed;['exterior of bed'];['portal of bed'];['interior of bed']
motion;Mary tucked her daughter Anne into bed, so thatæsheæcould sleep.;Mary;tucked;her daughter Anne;at;into/bed;['exterior of bed'];['portal of bed'];['interior of bed']
motion;Fred watched TV while George went out to buy groceries. After an houræheægot up.;;went;Fred,George;at;;['interior of unknown ground'];['portal of unknown ground'];['exterior of unknown ground']
motion;Fred watched TV while George went out to buy groceries. After an houræheægot up.;;got;he;at;;['lower place'];['unknown'];['higher place']
motion;Fred watched TV while George went out to buy groceries. After an houræheægot back.;;went;Fred,George;at;;['interior of unknown ground'];['portal of unknown ground'];['exterior of unknown ground']
motion;Fred watched TV while George went out to buy groceries. After an houræheægot back.;;got;he;at;;[];[];[]
motion;Look! There is a minnow swimming right below that duck!æItæhad better get away to safety fast!;;get;It;at;;[];[];[]
motion;Look! There is a shark swimming right below that duck!æItæhad better get away to safety fast!;;get;It;at;;[];[];[]
motion;I put the cake away in the refrigerator.æItæhas a lot of butter in it.;I;put;cake;at;away/refrigerator,in/refrigerator;['exterior of refrigerator'];['portal of refrigerator'];['interior of refrigerator']
locative;I put the cake away in the refrigerator.æItæhas a lot of butter in it.;I;put;['butter'];in;['it'];['exterior of refrigerator'];['portal of refrigerator'];['interior of refrigerator']
motion;I put the cake away in the refrigerator.æItæhas a lot of leftovers in it.;I;put;cake;in;away/refrigerator,in/refrigerator;['exterior of refrigerator'];['portal of refrigerator'];['interior of refrigerator']
locative;I put the cake away in the refrigerator.æItæhas a lot of leftovers in it.;I;put;['lot of leftovers'];in;['it'];['exterior of refrigerator'];['portal of refrigerator'];['interior of refrigerator']
locative;We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough ofæthem.;I;put;['chairs'];in;['auditorium'];['exterior of refrigerator'];['portal of refrigerator'];['interior of refrigerator']
locative;We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough ofæthem.;I;put;['copies of our newsletter'];on;['chairs'];['exterior of refrigerator'];['portal of refrigerator'];['interior of refrigerator']
motion;We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough ofæthem.;;hoped;We;on;;['unknown'];['unknown'];['unknown ground']
locative;We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many ofæthem.;;hoped;['chairs'];in;['auditorium'];['unknown'];['unknown'];['unknown ground']
locative;We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many ofæthem.;;hoped;['copies of our newsletter'];on;['chairs'];['unknown'];['unknown'];['unknown ground']
motion;We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many ofæthem.;;hoped;We;on;;['unknown'];['unknown'];['unknown ground']
motion;I stuck a pin through a carrot. When I pulled the pin out,æitæleft a hole.;I;stuck;pin;on;through/carrot;['one side of carrot'];['a new point inside of carrot'];['the other side of carrot']
motion;I stuck a pin through a carrot. When I pulled the pin out,æitæleft a hole.;I;pulled;pin;on;;['interior of unknown ground'];['portal of unknown ground'];['exterior of unknown ground']
motion;I stuck a pin through a carrot. When I pulled the pin out,æitæhad a hole.;I;stuck;pin;on;through/carrot;['one side of carrot'];['a new point inside of carrot'];['the other side of carrot']
motion;I stuck a pin through a carrot. When I pulled the pin out,æitæhad a hole.;I;pulled;pin;on;;['interior of unknown ground'];['portal of unknown ground'];['exterior of unknown ground']
locative;As Andrea in the crop duster passed over Susan,æsheæcould see the landing strip.;I;pulled;['Andrea'];in;['crop duster'];['interior of unknown ground'];['portal of unknown ground'];['exterior of unknown ground']
motion;As Andrea in the crop duster passed over Susan,æsheæcould see the landing strip.;;passed;Andrea;in;over/Susan;['unknown'];['unknown'];['higher than']
locative;As Andrea in the crop duster passed over Susan,æsheæcould see the landing gear.;;passed;['Andrea'];in;['crop duster'];['unknown'];['unknown'];['higher than']
motion;As Andrea in the crop duster passed over Susan,æsheæcould see the landing gear.;;passed;Andrea;in;over/Susan;['unknown'];['unknown'];['higher than']
motion;Bill passed the half-empty plate to John becauseæheæwas full.;Bill;passed;half-empty plate;in;to/John;['unknown'];['unknown'];['John']
motion;Bill passed the half-empty plate to John becauseæheæwas hungry.;Bill;passed;half-empty plate;in;to/John;['unknown'];['unknown'];['John']
motion;Bill passed the gameboy to John becauseæhisæturn was over.;Bill;passed;gameboy;in;to/John;['unknown'];['unknown'];['John']
motion;Bill passed the gameboy to John becauseæhisæturn was next.;Bill;passed;gameboy;in;to/John;['unknown'];['unknown'];['John']
motion;The man lifted the boy ontoæhisæshoulders.;man;lifted;boy;in;onto/his shoulders;['unknown'];['unknown'];['surface of his shoulders']
motion;The man lifted the boy ontoæhisæbunk bed.;man;lifted;boy;in;onto/his bunk bed;['unknown'];['unknown'];['surface of his bunk bed']
motion;As Ollie carried Tommy up the long winding steps,æhisælegs ached.;Ollie;carried;Tommy;in;up/steps;['lower place'];['unknown'];['higher place']
motion;As Ollie carried Tommy up the long winding steps,æhisælegs dangled.;;carried;;in;up/long steps;['lower place'];['unknown'];['higher place']
locative;The father carried the sleeping boy inæhisæarms;;carried;['boy'];in;['his arms'];['lower place'];['unknown'];['higher place']
locative;The father carried the sleeping boy inæhisæbassinet.;;carried;['boy'];in;['his bassinet'];['lower place'];['unknown'];['higher place']
motion;Emma did not pass the ball to Janie althoughæsheæsaw that she was open.;Emma;pass;ball;in;to/Janie;['unknown'];['unknown'];['Janie']
motion;Emma did not pass the ball to Janie althoughæsheæwas open.;Emma;pass;ball;in;to/Janie;['unknown'];['unknown'];['Janie']
motion;I put the butterfly wing on the table andæitæbroke.;I;put;butterfly wing;in;on/table;[];[];[]
motion;I put the heavy book on the table andæitæbroke.;I;put;heavy book;in;on/table;[];[];[]
